Mode: chained; duration: 120.0s; speed: 150
Phase 1: forward 17 cm for 2.10s, then right 90 degrees for 2.68s
Circle mode: after 25.6s on P1110/P1111, or both within 1.0s, turn right about 42.5 degrees; auto-trace inside; sustained P1001 (0.1s) enters exit mode: drive 5 cm and turn right 50 degrees
Operator beside car, chassis secured, power ready to cut? (yes/no) Phase 1 starting: forward 17 cm
Phase 1 complete: turning right 90 degrees
Phase 2 starting: auto-tracing
   5.4s P0010 -> L150 R150: centred or right drift; forward-only policy
 101.5s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.5s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.5s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.5s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.5s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.5s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.5s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.5s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.6s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.6s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.6s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.6s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.6s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.6s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.6s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.6s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.6s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.6s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.7s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.7s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.7s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.7s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.7s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.7s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.7s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.7s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.7s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.7s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.8s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.8s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.8s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.8s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.8s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.8s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.8s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.8s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.8s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.8s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.9s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.9s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.9s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.9s P0000 -> L60 R150: blind band; original-table correction
 101.9s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.9s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.9s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.9s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.9s P0100 -> L110 R150: drifting left, slight; original-table correction
 101.9s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.0s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.0s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.0s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.0s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.0s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.0s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.0s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.0s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.0s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.0s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.1s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.1s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.1s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.1s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.1s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.1s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.1s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.1s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.1s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.1s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.2s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.2s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.2s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.2s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.2s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.2s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.2s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.2s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.2s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.2s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.3s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.3s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.3s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.3s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.3s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.3s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.3s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.3s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.3s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.4s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.4s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.4s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.4s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.4s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.4s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.4s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.4s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.4s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.4s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.5s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.5s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.5s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.5s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.5s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.5s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.5s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.5s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.5s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.5s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.6s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.6s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.6s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.6s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.6s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.6s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.6s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.6s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.6s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.6s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.7s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.7s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.7s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.7s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.7s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.7s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.7s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.7s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.7s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.7s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.8s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.8s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.8s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.8s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.8s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.8s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.8s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.8s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.8s P0100 -> L110 R150: drifting left, slight; original-table correction
 102.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 102.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 102.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 102.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 102.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 102.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 102.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 102.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 102.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 102.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 102.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 103.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 104.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.0s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.1s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.2s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.3s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.4s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.5s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.6s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.7s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.8s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.9s P0110 -> L150 R150: centred or unresolved; original-table forward
 105.9s P0110 -> L150 R150: centred or unresolved; original-table forward
